A1	A2	angle	radius
NaN	NaN	NaN	NaN
1052.7721	-209.6665	86.4356345123094	691.671478068621
1058.0054	-236.7085	85.9240572553477	664.973407092705
1090.38	-232.74039	83.7017364685961	671.311457477644
1074.5282	-244.44853	84.7073442075991	658.358361020517
1536.9695	-638.10834	30.9024376322988	509.935751717552
1513.3285	-634.5535	32.3996077396312	495.401435858485
1530.2108	-670.54114	27.9730465062506	489.192734799625
1523.2078	-655.0706	29.8774673334778	491.681189276442
1533.0261	-701.7905	24.5297351528822	477.422933558397
1024.7491	-206.81187	88.3335842037831	693.481418943432
1023.5733	-260.5677	88.2793490074229	639.720748380493
1042.876	-253.27293	86.9077909834947	647.670068124891
1085.0864	-260.79614	83.8095277212169	642.952977004408
1107.2183	-289.57352	81.8549509937259	616.646863503367
1123.6993	-284.2061	80.7040215585397	623.988708194037
1140.6768	-292.5253	79.3140039775709	618.195352902282
1158.8505	-310.75897	77.6106234983275	603.290410772837
1496.0311	-617.95844	34.9072304252046	492.864782117889
1493.0995	-636.7185	33.2350527068106	480.374912680603
1504.1969	-653.3816	30.975347876911	479.178449939729
1489.0531	-669.88934	30.003794772671	460.168532249379
1511.6583	-677.9954	28.0346123045502	472.345323830427
1508.5878	-690.99585	26.7631397123888	464.140921018921
1527.4366	-696.54584	25.3325242422901	475.503502693902
1016.3626	-221.65744	88.8739831358168	678.473578757199
1027.8379	-282.949	87.894683221607	617.467797478004
1044.7965	-275.7106	86.6537259917279	625.355631107216
1095.4764	-244.51976	83.2312728191639	660.081013417931
1075.3232	-318.28876	83.9769704609578	584.940226591846
1096.5785	-318.1973	82.2967425668796	587.100945129864
1108.532	-316.01184	81.3887937434711	590.646449409351
1096.5107	-336.31268	82.0578041698587	569.146589568497
1131.552	-334.31018	79.2700519454626	575.756569003479
1652.741	-485.7852	37.9104258677403	674.146159777778
1633.4459	-541.2954	34.7973027663291	628.562064046309
1607.862	-553.607	34.9666837191316	604.419800948945
1584.397	-523.54614	38.3281020432919	607.023205878286
1635.8419	-591.88403	30.7394974068153	602.806776927177
1590.1427	-551.983	35.8938811493358	593.596114360851
1564.1611	-573.1232	35.4150970415806	564.070913102886
1552.0392	-597.1687	33.9491617614201	542.264229864262
1529.5979	-573.95416	37.0725073851099	540.862982233825
1557.239	-626.964	31.019208640951	529.832203356708
1541.4988	-601.59534	34.0701091194028	532.66863936178
1478.3463	-607.3782	36.8970092204303	487.3955493234
1474.6449	-639.261	33.9862287811397	466.443601545708
1465.2543	-670.89294	31.1457692555495	442.961047814729
1481.2234	-662.9184	31.1576277782852	458.222291420808
1481.5269	-693.8721	27.7147871958886	443.218573169074
1485.699	-718.5319	24.6323964043716	435.389518058415
1504.0747	-714.8959	24.2590464016119	450.525327783965
1509.1423	-749.6013	19.9265092065231	441.291886498566
937.66565	-256.08414	94.5102179215233	645.916051611087
1006.2128	-275.8691	89.5352710360675	624.151431078893
1067.7162	-268.93866	85.0029298292958	633.469058627517
1085.3514	-313.01697	83.2428642938075	591.08884483156
1114.076	-349.14996	80.4217493218858	558.637858975221
1139.0236	-371.69962	77.8974206313806	540.309405378687
1126.3347	-369.548	79.0173037933272	540.34861201905
1149.6404	-383.83853	76.708588484335	530.368261236152
1615.525	-520.75305	37.094337573601	628.798894716128
1566.4309	-507.08948	40.4070451939011	606.143651618372
1636.6643	-559.9217	33.2460996777623	620.31335818597
1557.6045	-577.8551	35.3368792385921	556.975219606006
1510.9365	-561.0385	39.1510225338646	536.86951603835
1496.9276	-573.9576	38.8411639554715	519.868212294178
1477.368	-623.05597	35.4498554310457	477.497750653147
1463.242	-635.73834	34.9953217005647	460.779877665354
1451.3389	-667.93024	32.2526105174657	434.870110078118
1460.2804	-689.6355	29.2874818455697	430.024488597883
1461.7678	-702.0695	27.7459143131491	425.152829369712
1468.047	-718.8108	25.4115176408897	422.237573371842
1487.8517	-737.33185	22.2545699707105	429.518120792023
1490.6147	-759.8092	19.3244611659547	423.643009955044
880.4795	-284.02444	98.9845480492403	623.627157763955
912.3249	-288.24268	96.6608852032479	615.914702939984
957.3563	-285.26962	93.2352351446336	615.711672415355
972.2252	-256.02725	92.012807735366	644.370326038187
1144.9626	-403.58438	76.6153851102223	510.275691412576
1078.1194	-383.30142	82.9767783633354	520.604846187258
1083.9657	-370.2456	82.640853452655	534.154365664823
1092.9204	-398.6514	81.4118588961177	507.033812830609
1114.5654	-396.80576	79.4899292618607	511.780451598053
1365.4503	-571.075	47.8445481076671	443.697799398936
1340.4111	-636.6729	43.510995909627	382.468382772857
1410.0581	-620.48486	39.913720091605	435.630650108917
1426.5583	-647.16846	36.0324332713492	429.807902513175
1420.4514	-637.60046	37.4485211064992	431.543855779878
1425.4991	-667.2949	33.8683145416225	417.568526947908
1438.6898	-680.4677	31.5556664808253	419.493778833201
1443.1207	-710.34375	27.7109252164062	407.85337339344
1450.6426	-734.3705	24.278043769466	402.82969465451
1469.5354	-741.2749	22.5316432778468	414.216454380981
1477.553	-754.5032	20.500833949551	415.442802932098
1498.823	-782.2842	16.1515382889143	423.166002955113
902.54297	-311.49777	97.6850588790528	593.836002154996
926.13745	-306.43298	95.7898894500249	596.610613571591
992.0563	-425.31235	90.7812419061273	474.731780353046
959.0972	-326.02832	93.3233241756971	574.938553880253
1015.50385	-385.2668	88.5940568486463	514.888207032142
1047.5018	-380.6784	85.7374550142506	520.762061675479
1062.0444	-389.476	84.3445089902559	513.02116945383
1100.4554	-392.68283	80.8343270208106	513.87843361369
1118.58	-386.99316	79.3333623860069	522.02708134193
1306.5085	-532.1389	55.8257143473205	444.635001048643
1337.1077	-561.2295	50.9632943197584	436.142531195617
1314.598	-604.2977	49.0775144732996	391.349504012315
1365.1233	-616.35675	43.6322890630168	411.06076620262
1393.3108	-623.15625	40.8211537431171	423.502725041659
1395.6813	-648.18085	37.9909416780219	409.104890478564
1405.9564	-671.89764	34.5888028185892	401.813004719159
1439.4954	-656.0398	34.263616918929	433.320801051268
1427.1293	-687.09326	31.4551028361557	407.999978340946
1429.1826	-712.7742	28.1629659387317	396.680780572991
1457.7498	-672.5741	31.3718723430105	436.861373481587
1435.9082	-739.25903	24.3486367541602	389.875569724208
1451.1013	-757.1583	21.2362694106184	394.356465176678
1461.0704	-778.1065	17.9752909150393	394.979932102889
1468.9828	-800.26794	14.6266602475703	394.947774842107
884.07166	-303.41708	98.9975789056093	604.015359221888
931.3116	-326.47733	95.5738759030691	576.247288443185
989.385	-449.8695	91.100843699668	450.213596230745
962.51373	-337.48834	93.108221279292	563.34038985328
1101.1183	-414.64038	80.3651963908347	492.303784636255
